profissao_atual,anos_experiencia,nivel_atual,objetivo_principal,area_interesse,tempo_disponivel_estudo,num_habilidades,habilidades_atuais,motivacao,score_adequacao
Suporte Técnico,6,Pleno,Atualizar Carreira,Segurança da Informação,20,2,"SIEM,Pentest",7,100.0
Gerente de Projetos,2,Júnior,Realocar Carreira,Inteligência Artificial,20,3,"Computer Vision,PyTorch,Python",8,100.0
Administrador de Redes,11,Sênior,Realocar Carreira,DevOps,15,5,"Docker,Kubernetes,AWS,Terraform,CI/CD",5,100.0
Administrador de Redes,20,Sênior,Realocar Carreira,Mobile,25,3,"Swift,Kotlin,Android",6,100.0
Analista de Dados,19,Sênior,Atualizar Carreira,Cloud Computing,10,2,"AWS,GCP",10,100.0
Analista de Sistemas,17,Sênior,Realocar Carreira,Mobile,15,5,"Android,Swift,Flutter,React Native,Kotlin",9,100.0
Analista de Sistemas,15,Sênior,Realocar Carreira,Inteligência Artificial,15,5,"TensorFlow,PyTorch,Python,Computer Vision,NLP",9,100.0
QA Tester,2,Júnior,Atualizar Carreira,DevOps,25,3,"CI/CD,AWS,Kubernetes",10,100.0
QA Tester,4,Pleno,Realocar Carreira,Segurança da Informação,25,2,"Firewall,OWASP",7,100.0
Analista de Dados,13,Sênior,Realocar Carreira,Cloud Computing,15,3,"Azure,Containers,GCP",5,100.0
Suporte Técnico,19,Sênior,Atualizar Carreira,Segurança da Informação,20,4,"SIEM,OWASP,Firewall,Pentest",7,100.0
Administrador de Redes,9,Sênior,Realocar Carreira,Mobile,20,5,"Android,React Native,Flutter,iOS,Swift",8,100.0
Desenvolvedor,6,Pleno,Realocar Carreira,DevOps,15,5,"Terraform,Linux,Kubernetes,Git,CI/CD",7,100.0
DBA,18,Sênior,Atualizar Carreira,Cloud Computing,10,5,"GCP,Azure,Containers,Serverless,AWS",5,100.0
Analista de Dados,19,Sênior,Realocar Carreira,Desenvolvimento Web,10,5,"Node.js,Python,React,CSS,Java",10,100.0
QA Tester,0,Júnior,Atualizar Carreira,DevOps,15,5,"Kubernetes,Docker,AWS,Git,CI/CD",10,100.0
Suporte Técnico,4,Pleno,Atualizar Carreira,Cloud Computing,15,5,"Serverless,Azure,GCP,Containers,AWS",9,100.0
QA Tester,3,Pleno,Atualizar Carreira,Segurança da Informação,10,5,"Criptografia,OWASP,SIEM,Pentest,Firewall",6,100.0
Desenvolvedor,7,Sênior,Atualizar Carreira,Desenvolvimento Web,10,4,"HTML,Node.js,React,JavaScript",6,100.0
Analista de Sistemas,16,Sênior,Atualizar Carreira,Data Science,25,2,"Estatística,R",7,100.0
DBA,19,Sênior,Realocar Carreira,Desenvolvimento Web,20,4,"Java,Node.js,JavaScript,CSS",10,100.0
Gerente de Projetos,1,Júnior,Realocar Carreira,UX/UI Design,10,2,"Sketch,Prototipagem",8,84.58
Analista de Dados,7,Sênior,Atualizar Carreira,Data Science,15,4,"Python,Machine Learning,R,NumPy",7,100.0
Desenvolvedor,0,Júnior,Realocar Carreira,UX/UI Design,15,5,"Prototipagem,Adobe XD,Figma,Design Thinking,Sketch",5,92.55
Designer,11,Sênior,Atualizar Carreira,UX/UI Design,30,2,"Design Thinking,Sketch",7,100.0
QA Tester,0,Júnior,Realocar Carreira,Desenvolvimento Web,15,3,"HTML,Node.js,Python",6,90.09
